,DATE,DATE_NAME,DATE_CODE,DATE_TYPE,DATE_TYPECODE,DATE_SORTORDER,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,GEOGRAPHY_SORTORDER,C2021_HH_1,C2021_HH_1_NAME,C2021_HH_1_CODE,C2021_HH_1_TYPE,C2021_HH_1_TYPECODE,C2021_HH_1_SORTORDER,MEASURES,MEASURES_NAME,OBS_VALUE,OBS_STATUS,OBS_STATUS_NAME,OBS_CONF,OBS_CONF_NAME,URN,RECORD_OFFSET,RECORD_COUNT
35,2021,2021,2021,date,0,0,629165514,E00021180,E00021180,2021 output areas,150,35,0,Number of households,0,Number of households,1000000,0,20100,Value,166,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165514d0d20100,35,913
36,2021,2021,2021,date,0,0,629165515,E00021181,E00021181,2021 output areas,150,36,0,Number of households,0,Number of households,1000000,0,20100,Value,104,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165515d0d20100,36,913
37,2021,2021,2021,date,0,0,629165516,E00021182,E00021182,2021 output areas,150,37,0,Number of households,0,Number of households,1000000,0,20100,Value,181,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165516d0d20100,37,913
38,2021,2021,2021,date,0,0,629165517,E00021183,E00021183,2021 output areas,150,38,0,Number of households,0,Number of households,1000000,0,20100,Value,142,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165517d0d20100,38,913
39,2021,2021,2021,date,0,0,629165518,E00021184,E00021184,2021 output areas,150,39,0,Number of households,0,Number of households,1000000,0,20100,Value,67,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165518d0d20100,39,913
40,2021,2021,2021,date,0,0,629165519,E00021185,E00021185,2021 output areas,150,40,0,Number of households,0,Number of households,1000000,0,20100,Value,128,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165519d0d20100,40,913
41,2021,2021,2021,date,0,0,629165520,E00021186,E00021186,2021 output areas,150,41,0,Number of households,0,Number of households,1000000,0,20100,Value,170,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165520d0d20100,41,913
42,2021,2021,2021,date,0,0,629165521,E00021187,E00021187,2021 output areas,150,42,0,Number of households,0,Number of households,1000000,0,20100,Value,91,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165521d0d20100,42,913
43,2021,2021,2021,date,0,0,629165522,E00021188,E00021188,2021 output areas,150,43,0,Number of households,0,Number of households,1000000,0,20100,Value,106,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165522d0d20100,43,913
44,2021,2021,2021,date,0,0,629165523,E00021189,E00021189,2021 output areas,150,44,0,Number of households,0,Number of households,1000000,0,20100,Value,120,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165523d0d20100,44,913
45,2021,2021,2021,date,0,0,629165524,E00021190,E00021190,2021 output areas,150,45,0,Number of households,0,Number of households,1000000,0,20100,Value,227,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165524d0d20100,45,913
46,2021,2021,2021,date,0,0,629165525,E00021191,E00021191,2021 output areas,150,46,0,Number of households,0,Number of households,1000000,0,20100,Value,44,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165525d0d20100,46,913
47,2021,2021,2021,date,0,0,629165526,E00021192,E00021192,2021 output areas,150,47,0,Number of households,0,Number of households,1000000,0,20100,Value,109,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165526d0d20100,47,913
48,2021,2021,2021,date,0,0,629165527,E00021193,E00021193,2021 output areas,150,48,0,Number of households,0,Number of households,1000000,0,20100,Value,154,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165527d0d20100,48,913
49,2021,2021,2021,date,0,0,629165528,E00021194,E00021194,2021 output areas,150,49,0,Number of households,0,Number of households,1000000,0,20100,Value,168,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165528d0d20100,49,913
50,2021,2021,2021,date,0,0,629165529,E00021195,E00021195,2021 output areas,150,50,0,Number of households,0,Number of households,1000000,0,20100,Value,109,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165529d0d20100,50,913
